leaf_index,target_section_count,predicted_section_count,section_count_absolute_error,geometry_rms_m,geometry_rms_normalized,position,size,section_count,total,station_x_m_mae,center_yz_m_mae,width_m_mae,width_m_relative_percent_mean,height_m_mae,height_m_relative_percent_mean,length_m_mae,length_m_relative_percent_mean
0,6,6,0,0.0154627834215999,0.023683928670748266,0.004348809830844402,0.009414988569915295,3.4570634852570947e-06,0.013770712539553642,0.014419342391192913,0.0014552294742316008,0.004993935581296682,3.779719829559326,0.003139946609735489,3.5159964561462402,0.026243627071380615,4.019665718078613
1,6,6,0,0.0034443246523104642,0.005683364674646676,0.0009196063620038331,0.003338729264214635,2.7418097943154862e-06,0.004263819195330143,0.00188267114572227,0.0014465763233602047,0.001678096828982234,2.4613094329833984,0.0014558819821104407,1.5416526794433594,0.0008720159530639648,0.1438884288072586
2,4,4,0,0.003933305027324907,0.00400517548036019,4.418463504407555e-05,0.0009160765912383795,1.4305104514278355e-06,0.0009631222346797585,0.002994336187839508,0.0011895284987986088,0.000834241509437561,1.213354229927063,0.0005823587998747826,0.9568799734115601,0.0048449039459228516,0.49334314465522766
3,8,8,0,0.019159923349189832,0.02014456530519274,0.0020906266290694475,0.02794751338660717,4.768370445162873e-07,0.030039094388484955,0.0178740993142128,0.00105675111990422,0.005364065524190664,5.394408226013184,0.008974701166152954,6.590049743652344,0.02865201234817505,3.0124459266662598
4,7,7,0,0.03451701410528042,0.03832965411865078,0.0032422246877104044,0.009982488118112087,1.6689286894688848e-06,0.01322805043309927,0.033930905163288116,0.001133922254666686,0.0025216538924723864,3.2226812839508057,0.0043552289716899395,3.936725616455078,0.059211552143096924,6.5751872062683105
5,3,3,0,0.008972523060100766,0.009702427447324578,0.0001258860866073519,0.0013136387569829822,2.0265558760002023e-06,0.0014435779303312302,0.00864836573600769,0.0006415705429390073,0.0016937244217842817,1.3699815273284912,0.0012105181813240051,1.4753806591033936,0.013545572757720947,1.4647489786148071
6,7,7,0,0.013496936880054943,0.013908000588099137,0.000990178668871522,0.011128074489533901,9.894321920000948e-06,0.01213804166764021,0.012524029240012169,0.0010685570305213332,0.003545061917975545,4.614850044250488,0.0027822668198496103,2.347670793533325,0.018269896507263184,1.8826326131820679
7,7,7,0,0.00290588224134431,0.00317533294160603,0.0004174669156782329,0.0015703140525147319,3.933898824470816e-06,0.0019956487230956554,0.001385637791827321,0.0013321798760443926,0.0020209632348269224,1.81824791431427,0.0019011881668120623,1.2158781290054321,0.0008267760276794434,0.09034395962953568
8,7,7,0,0.010260627615524784,0.010720875515249749,0.0030257725156843662,0.004294585436582565,2.622600959512056e-06,0.007325603161007166,0.00938334595412016,0.0010752566158771515,0.0031256794463843107,2.8535256385803223,0.0021376728545874357,1.467444896697998,0.008654952049255371,0.9043176174163818
9,7,7,0,0.04366532722023716,0.045773883554664316,0.019065456464886665,0.023069484159350395,1.1920858014491387e-05,0.04215878248214722,0.04305566847324371,0.000894947093911469,0.0058121467009186745,6.9175496101379395,0.006192269269376993,4.730250835418701,0.07915019989013672,8.297228813171387
10,3,3,0,0.004967663287976448,0.005158919374353373,0.00011961807467741892,0.0006075203418731689,1.7881377516459906e-06,0.0007307147025130689,0.004521836992353201,0.0006172799039632082,0.0006700543453916907,0.6827885508537292,0.0012174758594483137,1.1005587577819824,0.011688828468322754,1.2138850688934326
11,8,8,0,0.01713884473062936,0.017750141272674144,0.001198089332319796,0.01160607673227787,1.5497195136049413e-06,0.012807265855371952,0.01603083312511444,0.0011516341473907232,0.005968552082777023,4.4817352294921875,0.004595851060003042,3.942425012588501,0.027262568473815918,2.8234951496124268
12,6,6,0,0.02224113925658425,0.02289487315220251,0.0038370646070688963,0.011661614291369915,2.288792165927589e-05,0.01554445456713438,0.02125757560133934,0.0019659502431750298,0.0032988241873681545,3.6356914043426514,0.004814718849956989,3.918276309967041,0.014580726623535156,1.500929832458496
13,3,3,0,0.011488358865717673,0.012352594189827806,0.0002590981312096119,0.0006702222744934261,1.7881377516459906e-06,0.0009328966843895614,0.011046737432479858,0.0007376165012829006,0.00020414218306541443,0.40511175990104675,0.0010749846696853638,1.4823273420333862,0.016949355602264404,1.822440505027771
