leaf_index,target_section_count,predicted_section_count,section_count_absolute_error,geometry_rms_m,geometry_rms_normalized,position,chord,twist,cst_code,section_count,total,cst_shape_coefficients_mae,cst_trailing_edge_y_mae,cst_n1_n2_mae,leading_edge_xyz_m_mae,chord_m_mae,chord_m_relative_percent_mean,twist_rad_mae
11,2,2,0,0.015800624083060346,0.03160124816612069,0.002335693221539259,0.005956940818578005,0.005964001640677452,0.04758259654045105,-0.0,0.0711820051074028,0.010687656700611115,0.0006461279699578881,0.007415488362312317,0.006720871664583683,0.0039836689829826355,2.6155951023101807,0.00216648168861866
12,6,6,0,0.02861873384639067,0.05723746769278134,0.009652265347540379,0.01847056858241558,0.013655047863721848,0.5078355669975281,1.1920928244535389e-07,0.588222861289978,0.039638862013816833,0.0006948839873075485,0.02893807739019394,0.01261222455650568,0.009013387374579906,4.2276611328125,0.002899555489420891
13,3,3,0,0.05210869684030417,0.14786437275122155,0.028569014742970467,0.0028908804524689913,0.018268823623657227,0.1758757084608078,1.1920928244535389e-07,0.3398808538913727,0.02059352584183216,0.0010947464033961296,0.012040486559271812,0.01844165101647377,0.0027257304172962904,1.5485689640045166,0.003704716917127371
14,3,3,0,0.022792861529610003,0.04137686251104186,0.009950739331543446,0.025887051597237587,0.004320611711591482,0.22037023305892944,2.3841855067985307e-07,0.30033230781555176,0.023402411490678787,0.0007015573210082948,0.013384273275732994,0.010128214955329895,0.008975772187113762,5.570072174072266,0.0018171900883316994
15,3,3,0,0.03723529690842442,0.09436509490959721,0.014908122830092907,0.02140849269926548,0.022092700004577637,0.1222844049334526,-0.0,0.24032621085643768,0.02060846984386444,0.0005089120240882039,0.010125617496669292,0.014902942813932896,0.006453514099121094,4.75838041305542,0.004452758003026247
16,7,7,0,0.019887500930477336,0.03977500186095467,0.00541903730481863,0.006024669390171766,0.018354017287492752,0.5072078108787537,5.960462772236497e-07,0.558683454990387,0.04044334217905998,0.0007985200500115752,0.024120813235640526,0.008488981053233147,0.005250266753137112,2.200437307357788,0.003036481561139226
17,2,2,0,0.03519226720100969,0.08210111276568077,0.007289694622159004,0.07771917432546616,0.0001291630615014583,0.13022257387638092,1.1920928244535389e-07,0.24451974034309387,0.019307276234030724,0.0008161569712683558,0.007593311369419098,0.010981480590999126,0.016691163182258606,9.973442077636719,0.00031930161640048027
18,8,8,0,0.037250496357383533,0.07450099271476707,0.012455673888325691,0.025424882769584656,0.018315158784389496,0.5744456648826599,-0.0,0.6804640889167786,0.04201270267367363,0.0006928254151716828,0.028600895777344704,0.015378760173916817,0.009109454229474068,5.42111873626709,0.002988144289702177
19,2,2,0,0.033214630379473455,0.15836061026143897,0.011773440055549145,0.001380999805405736,0.02732747048139572,0.06383293867111206,2.3841855067985307e-07,0.1514093279838562,0.01455932017415762,0.0005880355602130294,0.005398489534854889,0.015622325241565704,0.0024079419672489166,1.474615216255188,0.0049692606553435326
20,6,6,0,0.02495177734261995,0.0499035546852399,0.006613876670598984,0.023278839886188507,0.016824811697006226,0.4083690345287323,2.9802276912960224e-06,0.48155099153518677,0.03628436103463173,0.0006210192805156112,0.01962517760694027,0.010188017040491104,0.007388461381196976,4.9910383224487305,0.0032867630943655968
21,2,2,0,0.02649466163746122,0.10201432783318186,0.00790317077189684,0.029288029298186302,0.0018605797085911036,0.14990532398223877,1.1920928244535389e-07,0.2205701470375061,0.022641045972704887,0.0007338800933212042,0.00794452428817749,0.013285551220178604,0.004511255770921707,5.448066711425781,0.0010015822481364012
22,6,6,0,0.027789919132314392,0.055579838264628784,0.011616668663918972,0.03773428872227669,0.013960161246359348,0.3490696847438812,1.1920928244535389e-07,0.4588478207588196,0.032268669456243515,0.0007237782701849937,0.019274068996310234,0.010871313512325287,0.01161474734544754,6.319809913635254,0.0029254851397126913
