leaf_index,target_section_count,predicted_section_count,section_count_absolute_error,geometry_rms_m,geometry_rms_normalized,position,chord,twist,cst_code,section_count,total,cst_shape_coefficients_mae,cst_trailing_edge_y_mae,cst_n1_n2_mae,leading_edge_xyz_m_mae,chord_m_mae,chord_m_relative_percent_mean,twist_rad_mae
0,8,8,0,5.394736860760057e-05,0.00010789473721520114,4.377222495577371e-08,5.269355085602001e-08,2.8245761285461413e-08,9.748750926519278e-06,0.0002637753786984831,0.0008013747283257544,0.00014173649833537638,6.528186986543005e-07,5.43445348739624e-05,2.647342626005411e-05,1.2529082596302032e-05,0.00931275449693203,4.328787326812744e-06
1,2,2,0,4.465142091746362e-05,0.00015384242506870184,1.5601486325067526e-08,3.048001673278122e-08,5.510821132759247e-09,4.867866465474435e-08,0.0003716255014296621,0.001115039107389748,1.1012889444828033e-05,9.464019967708737e-08,6.496906280517578e-06,1.7092213965952396e-05,1.6868114471435547e-05,0.008242465555667877,1.7546117305755615e-06
2,7,7,0,0.0001035638021832326,0.00013902888364862974,1.316652031846388e-07,7.450449146517713e-08,6.628231830063669e-08,4.256860847817734e-06,0.00027092601521871984,0.0008178339921869338,8.324917871505022e-05,4.3545773564801493e-07,4.51377454737667e-05,4.681381687987596e-05,2.893805503845215e-05,0.010311118327081203,7.001283847785089e-06
