leaf_index,target_section_count,predicted_section_count,section_count_absolute_error,geometry_rms_m,geometry_rms_normalized,position,chord,twist,cst_code,section_count,total,cst_shape_coefficients_mae,cst_trailing_edge_y_mae,cst_n1_n2_mae,leading_edge_xyz_m_mae,chord_m_mae,chord_m_relative_percent_mean,twist_rad_mae
0,8,8,0,7.741974152362893e-05,0.00015483948304725786,9.03686583342278e-08,9.735462924709282e-08,2.3981719721177797e-08,1.0251991625409573e-05,0.0002637753786984831,0.0008021513349376619,0.0001473254815209657,5.9624585446727e-07,5.624257028102875e-05,3.6348472349345684e-05,1.4462508261203766e-05,0.012125206179916859,3.858935087919235e-06
1,2,2,0,3.943276765640941e-05,0.00013586202810088072,9.773556186587484e-09,3.425522976385764e-08,7.728204742818434e-09,3.936913017810184e-08,0.0003716255014296621,0.0011150067439302802,9.990390026359819e-06,9.882569429464638e-08,7.0035457611083984e-06,1.437399350834312e-05,1.7851591110229492e-05,0.00873249489814043,2.641230821609497e-06
2,7,7,0,8.631855085096273e-05,0.00011587805304544719,9.415720825245444e-08,1.0520473381347983e-07,5.8318619267083704e-08,4.518729383562459e-06,0.00027092601521871984,0.0008179310825653374,8.535893721273169e-05,4.4292286816016713e-07,4.9331360060023144e-05,3.754786666831933e-05,3.6137444112682715e-05,0.012932234443724155,6.432245754695032e-06
